P11.000000 as test sample.
P11.000000 as test sample.
0.100000	0.058201	0.144621	0.220459
0.200000	0.074074	0.174603	0.250441
0.300000	0.084656	0.202822	0.273369
0.400000	0.091711	0.218695	0.289242
0.500000	0.100529	0.220459	0.303351
0.600000	0.111111	0.238095	0.303351
0.700000	0.112875	0.236332	0.313933
0.800000	0.114638	0.227513	0.305115
0.900000	0.112875	0.199295	0.275132
1.000000	0.065256	0.144621	0.192240
P12.000000 as test sample.
0.100000	0.227513	0.398589	0.485009
0.200000	0.250441	0.417989	0.506173
0.300000	0.252205	0.433862	0.534392
0.400000	0.255732	0.442681	0.530864
0.500000	0.245150	0.440917	0.520282
0.600000	0.229277	0.412698	0.514991
0.700000	0.218695	0.393298	0.477954
0.800000	0.199295	0.363316	0.437390
0.900000	0.178131	0.294533	0.379189
1.000000	0.126984	0.231041	0.305115
P13.000000 as test sample.
0.100000	0.268078	0.474427	0.557319
0.200000	0.282187	0.477954	0.564374
0.300000	0.285714	0.456790	0.548501
0.400000	0.275132	0.442681	0.530864
0.500000	0.266314	0.440917	0.504409
0.600000	0.261023	0.417989	0.477954
0.700000	0.236332	0.388007	0.455026
0.800000	0.216931	0.354497	0.416226
0.900000	0.169312	0.306878	0.377425
1.000000	0.100529	0.222222	0.294533
