P79.000000 as test sample.
0.100000	0.617000	0.815000	0.871000
0.200000	0.686000	0.863000	0.901000
0.300000	0.734000	0.885000	0.928000
0.400000	0.764000	0.908000	0.945000
0.500000	0.778000	0.919000	0.953000
0.600000	0.791000	0.927000	0.954000
0.700000	0.782000	0.926000	0.954000
0.800000	0.772000	0.914000	0.950000
0.900000	0.738000	0.891000	0.924000
1.000000	0.651000	0.830000	0.870000
P80.000000 as test sample.
0.100000	0.351000	0.573000	0.670000
0.200000	0.411000	0.642000	0.724000
0.300000	0.471000	0.696000	0.774000
0.400000	0.519000	0.747000	0.809000
0.500000	0.549000	0.773000	0.832000
0.600000	0.576000	0.784000	0.848000
0.700000	0.594000	0.792000	0.855000
0.800000	0.578000	0.789000	0.849000
0.900000	0.543000	0.759000	0.824000
1.000000	0.454000	0.659000	0.731000
P81.000000 as test sample.
0.100000	0.688000	0.870000	0.918000
0.200000	0.758000	0.912000	0.951000
0.300000	0.815000	0.942000	0.966000
0.400000	0.834000	0.951000	0.970000
0.500000	0.841000	0.959000	0.973000
0.600000	0.849000	0.955000	0.973000
0.700000	0.844000	0.946000	0.965000
0.800000	0.828000	0.935000	0.958000
0.900000	0.789000	0.910000	0.937000
1.000000	0.711000	0.861000	0.898000
P82.000000 as test sample.
0.100000	0.455000	0.692000	0.775000
0.200000	0.537000	0.747000	0.819000
0.300000	0.581000	0.788000	0.856000
0.400000	0.612000	0.827000	0.870000
0.500000	0.632000	0.828000	0.887000
0.600000	0.647000	0.838000	0.891000
0.700000	0.636000	0.824000	0.886000
0.800000	0.620000	0.811000	0.867000
0.900000	0.561000	0.773000	0.827000
1.000000	0.453000	0.654000	0.726000
P83.000000 as test sample.
0.100000	0.642000	0.850000	0.898000
0.200000	0.731000	0.895000	0.936000
0.300000	0.786000	0.925000	0.947000
0.400000	0.820000	0.933000	0.960000
0.500000	0.836000	0.941000	0.967000
0.600000	0.839000	0.941000	0.963000
0.700000	0.826000	0.943000	0.962000
0.800000	0.810000	0.929000	0.952000
0.900000	0.773000	0.905000	0.935000
1.000000	0.699000	0.851000	0.894000
