P50.000000 as test sample.
P50.000000 as test sample.
0.100000	0.807588	0.905149	0.940379
0.200000	0.834688	0.953930	0.972900
0.300000	0.883469	0.970190	0.981030
0.400000	0.888889	0.972900	0.989160
0.500000	0.883469	0.983740	0.997290
0.600000	0.883469	0.981030	0.991870
0.700000	0.880759	0.983740	0.989160
0.800000	0.867209	0.975610	0.986450
0.900000	0.853659	0.959350	0.978320
1.000000	0.794038	0.937669	0.959350
P51.000000 as test sample.
0.100000	0.867209	0.945799	0.981030
0.200000	0.915989	0.981030	0.989160
0.300000	0.932249	0.989160	0.994580
0.400000	0.945799	0.989160	0.997290
0.500000	0.940379	0.991870	0.997290
0.600000	0.929539	0.994580	0.997290
0.700000	0.929539	0.994580	0.997290
0.800000	0.913279	0.994580	1.000000
0.900000	0.905149	0.991870	0.997290
1.000000	0.867209	0.983740	0.989160
P52.000000 as test sample.
0.100000	0.899729	0.983740	0.994580
0.200000	0.943089	0.997290	0.997290
0.300000	0.962060	0.997290	0.997290
0.400000	0.962060	0.997290	1.000000
0.500000	0.970190	1.000000	1.000000
0.600000	0.962060	1.000000	1.000000
0.700000	0.970190	0.997290	1.000000
0.800000	0.964770	0.997290	0.997290
0.900000	0.959350	0.994580	0.997290
1.000000	0.924119	0.986450	0.991870
P53.000000 as test sample.
0.100000	0.883469	0.967480	0.975610
0.200000	0.913279	0.978320	0.989160
0.300000	0.929539	0.989160	0.997290
0.400000	0.940379	0.994580	1.000000
0.500000	0.945799	0.997290	1.000000
0.600000	0.943089	0.991870	1.000000
0.700000	0.940379	0.991870	0.991870
0.800000	0.918699	0.991870	0.991870
0.900000	0.910569	0.978320	0.986450
1.000000	0.883469	0.970190	0.978320
P54.000000 as test sample.
0.100000	0.837398	0.953930	0.967480
0.200000	0.872629	0.967480	0.981030
0.300000	0.888889	0.972900	0.986450
0.400000	0.897019	0.975610	0.991870
0.500000	0.886179	0.975610	0.994580
0.600000	0.878049	0.972900	0.991870
0.700000	0.880759	0.967480	0.983740
0.800000	0.869919	0.956640	0.978320
0.900000	0.848238	0.945799	0.972900
1.000000	0.810298	0.921409	0.945799
